tissue	go_id	gene_ratio	bg_ratio	p_adj	Names
testes	GO:0060271	32/427	60/9251	2.57159676827487e-25	cilium assembly
testes	GO:0003341	16/427	19/9251	1.94390917031109e-17	cilium movement
testes	GO:0007018	28/427	84/9251	1.09851922509659e-15	microtubule-based movement
testes	GO:0003254	9/427	16/9251	2.64461031339478e-07	regulation of membrane depolarization
testes	GO:0042073	6/427	11/9251	9.98585752314717e-05	intraciliary transport
testes	GO:0000226	10/427	43/9251	0.00045144610663387	microtubule cytoskeleton organization
testes	GO:0071805	11/427	57/9251	0.000967037529107494	potassium ion transmembrane transport
testes	GO:0007131	5/427	11/9251	0.00128297719258605	reciprocal meiotic recombination
testes	GO:0006099	9/427	41/9251	0.00128297719258605	tricarboxylic acid cycle
testes	GO:0035725	10/427	56/9251	0.00293753879490391	sodium ion transmembrane transport
testes	GO:0044782	5/427	14/9251	0.00371398302660593	cilium organization
testes	GO:0035556	12/427	89/9251	0.00884247039216909	intracellular signal transduction
testes	GO:0006096	7/427	35/9251	0.0100679957762013	glycolytic process
testes	GO:0009190	5/427	18/9251	0.0107136971000423	cyclic nucleotide biosynthetic process
testes	GO:0006334	4/427	11/9251	0.0107138699282137	nucleosome assembly
testes	GO:0007017	5/427	19/9251	0.0122455116905559	microtubule-based process
testes	GO:0006123	4/427	12/9251	0.0129074990638973	mitochondrial electron transport, cytochrome c to oxygen
testes	GO:0007283	4/427	12/9251	0.0129074990638973	spermatogenesis
testes	GO:0006006	4/427	13/9251	0.0170244765924613	glucose metabolic process
testes	GO:0036211	5/427	22/9251	0.0197884239111766	protein modification process
