tissue	go_id	gene_ratio	bg_ratio	p_adj	Names
midgut	GO:0004650	13/268	13/12262	8.75023957346468e-21	polygalacturonase activity
midgut	GO:0004553	22/268	84/12262	1.04606687369012e-16	hydrolase activity, hydrolyzing O-glycosyl compounds
midgut	GO:0008810	12/268	17/12262	1.17528182557368e-15	cellulase activity
midgut	GO:0008422	11/268	29/12262	1.94783110803248e-10	beta-glucosidase activity
midgut	GO:0004197	10/268	24/12262	4.72825825513383e-10	cysteine-type endopeptidase activity
midgut	GO:0005337	9/268	18/12262	5.24076308968865e-10	nucleoside transmembrane transporter activity
midgut	GO:0016671	8/268	21/12262	8.39624715249477e-08	oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor
midgut	GO:0008061	12/268	76/12262	8.31370381628323e-07	chitin binding
midgut	GO:0016298	7/268	29/12262	2.05000003890162e-05	lipase activity
midgut	GO:0004252	14/268	144/12262	2.57865724666965e-05	serine-type endopeptidase activity
midgut	GO:0008194	7/268	44/12262	0.00031695618875961	UDP-glycosyltransferase activity
midgut	GO:0004568	5/268	20/12262	0.000394014036775144	chitinase activity
midgut	GO:0016787	8/268	87/12262	0.00396437919088311	hydrolase activity
midgut	GO:0022857	15/268	326/12262	0.0314690555080214	transmembrane transporter activity
midgut	GO:0017171	3/268	17/12262	0.0314690555080214	serine hydrolase activity
ovaries	GO:0016614	9/205	48/12262	7.75719535515558e-06	oxidoreductase activity, acting on CH-OH group of donors
ovaries	GO:1902936	9/205	59/12262	2.47899416525328e-05	phosphatidylinositol bisphosphate binding
ovaries	GO:0016491	19/205	331/12262	9.03719347867257e-05	oxidoreductase activity
ovaries	GO:0050660	10/205	103/12262	0.000198604722515581	flavin adenine dinucleotide binding
ovaries	GO:0061630	13/205	194/12262	0.000427991811186048	ubiquitin protein ligase activity
ovaries	GO:0020037	11/205	179/12262	0.00330436157311362	heme binding
ovaries	GO:0031624	7/205	76/12262	0.00368353892646272	ubiquitin conjugating enzyme binding
ovaries	GO:0000981	17/205	402/12262	0.0049848073185992	DNA-binding transcription factor activity, RNA polymerase II-specific
ovaries	GO:0004364	4/205	28/12262	0.0119691892482698	glutathione transferase activity
ovaries	GO:0008422	4/205	29/12262	0.012333906575754	beta-glucosidase activity
ovaries	GO:0000978	13/205	312/12262	0.0196223078942888	RNA polymerase II cis-regulatory region sequence-specific DNA binding
ovaries	GO:0015232	3/205	18/12262	0.0242372319551295	heme transmembrane transporter activity
ovaries	GO:0022857	13/205	326/12262	0.0242372319551295	transmembrane transporter activity
ovaries	GO:0016747	6/205	89/12262	0.0253187206228507	acyltransferase activity, transferring groups other than amino-acyl groups
ovaries	GO:0000977	6/205	93/12262	0.0293435917619598	RNA polymerase II transcription regulatory region sequence-specific DNA binding
ovaries	GO:0004386	4/205	44/12262	0.0362614888017035	helicase activity
testes	GO:0045505	18/512	47/12262	2.99344670575049e-11	dynein intermediate chain binding
testes	GO:0008569	15/512	35/12262	2.28269265782932e-10	minus-end-directed microtubule motor activity
testes	GO:0051959	15/512	40/12262	1.55304407595665e-09	dynein light intermediate chain binding
testes	GO:0008017	20/512	89/12262	2.21437976686828e-08	microtubule binding
testes	GO:0005249	10/512	33/12262	2.08805989147688e-05	voltage-gated potassium channel activity
testes	GO:0045504	6/512	10/12262	2.84204414869192e-05	dynein heavy chain binding
testes	GO:0016616	13/512	64/12262	4.87227941695901e-05	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
testes	GO:0003777	7/512	30/12262	0.0042557797560864	microtubule motor activity
testes	GO:0140664	5/512	16/12262	0.00749471037530646	ATP-dependent DNA damage sensor activity
testes	GO:0008137	5/512	17/12262	0.00922995196802218	NADH dehydrogenase (ubiquinone) activity
testes	GO:0019205	4/512	11/12262	0.0129739349151812	nucleobase-containing compound kinase activity
testes	GO:0016849	4/512	14/12262	0.0326419237873616	phosphorus-oxygen lyase activity
testes	GO:0016491	25/512	331/12262	0.043356477477207	oxidoreductase activity
testes	GO:0004016	4/512	16/12262	0.0476017610427265	adenylate cyclase activity
